Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR1039516	GSM1275870: N080611_untreated; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	36125	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039516/SRR1039516.sra	SRR1039516.sra	SRR1039516_GSM1275870_N080611_untreated_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/006/SRR1039516/SRR1039516.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/006/SRR1039516/SRR1039516.fastq.gz	SRR1039516.fastq.gz	SRR1039516_GSM1275870_N080611_untreated_Homo_sapiens_RNA-Seq.fastq.gz
SRR1039516	GSM1275870: N080611_untreated; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	36125	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039516/SRR1039516.sra	SRR1039516.sra	SRR1039516_GSM1275870_N080611_untreated_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/006/SRR1039516/SRR1039516_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/006/SRR1039516/SRR1039516_1.fastq.gz	SRR1039516_1.fastq.gz	SRR1039516_GSM1275870_N080611_untreated_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1039516	GSM1275870: N080611_untreated; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	36125	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039516/SRR1039516.sra	SRR1039516.sra	SRR1039516_GSM1275870_N080611_untreated_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/006/SRR1039516/SRR1039516_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/006/SRR1039516/SRR1039516_2.fastq.gz	SRR1039516_2.fastq.gz	SRR1039516_GSM1275870_N080611_untreated_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1039512	GSM1275866: N052611_untreated; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	35452	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039512/SRR1039512.sra	SRR1039512.sra	SRR1039512_GSM1275866_N052611_untreated_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/002/SRR1039512/SRR1039512_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/002/SRR1039512/SRR1039512_1.fastq.gz	SRR1039512_1.fastq.gz	SRR1039512_GSM1275866_N052611_untreated_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1039512	GSM1275866: N052611_untreated; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	35452	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039512/SRR1039512.sra	SRR1039512.sra	SRR1039512_GSM1275866_N052611_untreated_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/002/SRR1039512/SRR1039512_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/002/SRR1039512/SRR1039512_2.fastq.gz	SRR1039512_2.fastq.gz	SRR1039512_GSM1275866_N052611_untreated_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1039511	GSM1275865: N61311_Alb_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	27643	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039511/SRR1039511.sra	SRR1039511.sra	SRR1039511_GSM1275865_N61311_Alb_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/001/SRR1039511/SRR1039511_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/001/SRR1039511/SRR1039511_1.fastq.gz	SRR1039511_1.fastq.gz	SRR1039511_GSM1275865_N61311_Alb_Dex_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1039511	GSM1275865: N61311_Alb_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	27643	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039511/SRR1039511.sra	SRR1039511.sra	SRR1039511_GSM1275865_N61311_Alb_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/001/SRR1039511/SRR1039511_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/001/SRR1039511/SRR1039511_2.fastq.gz	SRR1039511_2.fastq.gz	SRR1039511_GSM1275865_N61311_Alb_Dex_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1039519	GSM1275873: N080611_Alb_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	33802	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039519/SRR1039519.sra	SRR1039519.sra	SRR1039519_GSM1275873_N080611_Alb_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/009/SRR1039519/SRR1039519.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/009/SRR1039519/SRR1039519.fastq.gz	SRR1039519.fastq.gz	SRR1039519_GSM1275873_N080611_Alb_Dex_Homo_sapiens_RNA-Seq.fastq.gz
SRR1039519	GSM1275873: N080611_Alb_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	33802	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039519/SRR1039519.sra	SRR1039519.sra	SRR1039519_GSM1275873_N080611_Alb_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/009/SRR1039519/SRR1039519_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/009/SRR1039519/SRR1039519_1.fastq.gz	SRR1039519_1.fastq.gz	SRR1039519_GSM1275873_N080611_Alb_Dex_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1039519	GSM1275873: N080611_Alb_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	33802	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039519/SRR1039519.sra	SRR1039519.sra	SRR1039519_GSM1275873_N080611_Alb_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/009/SRR1039519/SRR1039519_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/009/SRR1039519/SRR1039519_2.fastq.gz	SRR1039519_2.fastq.gz	SRR1039519_GSM1275873_N080611_Alb_Dex_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1039523	GSM1275877: N061011_Alb_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	39185	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039523/SRR1039523.sra	SRR1039523.sra	SRR1039523_GSM1275877_N061011_Alb_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR1039523/SRR1039523_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/003/SRR1039523/SRR1039523_1.fastq.gz	SRR1039523_1.fastq.gz	SRR1039523_GSM1275877_N061011_Alb_Dex_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1039523	GSM1275877: N061011_Alb_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	39185	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039523/SRR1039523.sra	SRR1039523.sra	SRR1039523_GSM1275877_N061011_Alb_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR1039523/SRR1039523_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/003/SRR1039523/SRR1039523_2.fastq.gz	SRR1039523_2.fastq.gz	SRR1039523_GSM1275877_N061011_Alb_Dex_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1039520	GSM1275874: N061011_untreated; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	35186	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039520/SRR1039520.sra	SRR1039520.sra	SRR1039520_GSM1275874_N061011_untreated_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/000/SRR1039520/SRR1039520.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/000/SRR1039520/SRR1039520.fastq.gz	SRR1039520.fastq.gz	SRR1039520_GSM1275874_N061011_untreated_Homo_sapiens_RNA-Seq.fastq.gz
SRR1039520	GSM1275874: N061011_untreated; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	35186	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039520/SRR1039520.sra	SRR1039520.sra	SRR1039520_GSM1275874_N061011_untreated_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/000/SRR1039520/SRR1039520_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/000/SRR1039520/SRR1039520_1.fastq.gz	SRR1039520_1.fastq.gz	SRR1039520_GSM1275874_N061011_untreated_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1039520	GSM1275874: N061011_untreated; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	35186	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039520/SRR1039520.sra	SRR1039520.sra	SRR1039520_GSM1275874_N061011_untreated_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/000/SRR1039520/SRR1039520_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/000/SRR1039520/SRR1039520_2.fastq.gz	SRR1039520_2.fastq.gz	SRR1039520_GSM1275874_N061011_untreated_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1039513	GSM1275867: N052611_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	37913	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039513/SRR1039513.sra	SRR1039513.sra	SRR1039513_GSM1275867_N052611_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR1039513/SRR1039513.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/003/SRR1039513/SRR1039513.fastq.gz	SRR1039513.fastq.gz	SRR1039513_GSM1275867_N052611_Dex_Homo_sapiens_RNA-Seq.fastq.gz
SRR1039513	GSM1275867: N052611_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	37913	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039513/SRR1039513.sra	SRR1039513.sra	SRR1039513_GSM1275867_N052611_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR1039513/SRR1039513_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/003/SRR1039513/SRR1039513_1.fastq.gz	SRR1039513_1.fastq.gz	SRR1039513_GSM1275867_N052611_Dex_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1039513	GSM1275867: N052611_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	37913	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039513/SRR1039513.sra	SRR1039513.sra	SRR1039513_GSM1275867_N052611_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR1039513/SRR1039513_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/003/SRR1039513/SRR1039513_2.fastq.gz	SRR1039513_2.fastq.gz	SRR1039513_GSM1275867_N052611_Dex_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1039515	GSM1275869: N052611_Alb_Dex; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	33757	1388613600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039515/SRR1039515.sra	SRR1039515.sra	SRR1039515_GSM1275869_N052611_Alb_Dex_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/005/SRR1039515/SRR1039515.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/005/SRR1039515/SRR1039515.fastq.gz	SRR1039515.fastq.gz	SRR1039515_GSM1275869_N052611_Alb_Dex_Homo_sapiens_RNA-Seq.fastq.gz
